,Questions,Answers,Label
0,How does the Gita start?,"Its branches spread below and above, nourished by the Gunas; its buds are sense-objects, and its roots stretch forth below in the world of men, originating action.",0
1,How does the Gita start?,"All beings, O Arjuna, go into My Nature at the end of a Kalpa; I send them forth again at the beginning of the next Kalpa.",0
2,How does the Gita start?,"Then, Arjuna, filled with wonder and his hair standing on end, bowed his head to the God and spoke with palms joined.",0
3,How does the Gita start?,"With the mind not moving towards any other thing, made steadfast through the practice of habitual meditation, and constantly meditating, one goes to the Supreme Person, the Resplendent, O Arjuna.",0
4,How does the Gita start?,"Under Me, as supervisor, Nature produces the moving and the unmoving; therefore, O Arjuna, the world revolves.",0
5,How does the Gita start?,"Arjuna said, ""O Krishna, place my chariot in the middle between the two armies, so that I may behold those who stand here, desirous to fight, and know with whom I must fight when the battle is about to commence.""",0
6,How does the Gita start?,"Arjuna said, ""O Krishna, place my chariot in the middle between the two armies, so that I may behold those who stand here, desirous to fight, and know with whom I must fight when the battle is about to commence.""",0
7,How does the Gita start?,"Arjuna said, ""He who is unable to control himself, even though he has faith, and whose mind wanders away from Yoga, what end does he meet, having failed to attain perfection in Yoga, O Krishna?""",0
8,How does the Gita start?,"Arjuna said, ""Later was Thy birth, and prior to it was the birth of Vivasvan (the Sun); how am I to understand that Thou hast taught this Yoga from the beginning?""",0
9,How does the Gita start?,"Then, seeing the people of Dhritarashtra's party standing arrayed and the discharge of weapons about to begin, Arjuna, the son of Pandu whose ensign was a monkey, took up his bow and said the following to Krishna, O Lord of the Earth.",0
10,How does the Gita start?,"Drona, Bhishma, Jayadratha, Karna, and other brave warriors have already been slain by Me; do not be distressed with fear; fight and you shall conquer your enemies in battle.",0
11,"In the Mahabharata war, whom did Duryodhana first talk to?","For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.",0
12,"In the Mahabharata war, whom did Duryodhana first talk to?","His glorious grandsire, the oldest of the Kauravas, roared like a lion to cheer Duryodhana and blew his conch.",0
13,"In the Mahabharata war, whom did Duryodhana first talk to?","Hrishikesha blew the Panchajanya, Arjuna blew the Devadatta, and Bhima, the wolf-bellied doer of terrible deeds, blew the great conch Paundra.",0
14,"In the Mahabharata war, whom did Duryodhana first talk to?","Sanjaya said: Having spoken thus to Hrishikesha, the Lord of the senses, Arjuna, the conqueror of sleep and destroyer of foes, said, ""I will not fight,"" and became silent.",0
15,"In the Mahabharata war, whom did Duryodhana first talk to?","Dhritarashtra said, ""What did my people and the sons of Pandu do when they had assembled together, eager for battle, on the holy plain of Kurukshetra, O Sanjaya?""",0
16,"In the Mahabharata war, whom did Duryodhana first talk to?","To him who was despondent in the midst of the two armies, Krishna, smiling, O Bharata, spoke these words.",0
17,"In the Mahabharata war, whom did Duryodhana first talk to?","All the sons of Dhritarashtra, along with the hosts of kings of the earth, Bhishma, Drona, and Karna, as well as the chief among our warriors.",0
18,"In the Mahabharata war, whom did Duryodhana first talk to?","He saw fathers-in-law and friends in both the armies. The son of Kunti, Arjuna, seeing all those kinsmen thus standing arrayed, spoke sorrowfully, deeply filled with pity.",0
19,"In the Mahabharata war, whom did Duryodhana first talk to?","Then, Arjuna (son of Pritha) saw there (in the armies) stationed fathers, grandfathers, teachers, maternal uncles, brothers, sons, grandsons, and friends.",0
20,"In the Mahabharata war, whom did Duryodhana first talk to?","Sanjaya said: Having seen the army of the Pandavas drawn up in battle array, King Duryodhana approached his teacher, Drona, and spoke these words.",0
21,"In the Mahabharata war, whom did Duryodhana first talk to?","For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.",0
22,"What did Duryodhana say to his teacher, Drona?","His glorious grandsire, the oldest of the Kauravas, roared like a lion to cheer Duryodhana and blew his conch.",0
23,"What did Duryodhana say to his teacher, Drona?","Drona, Bhishma, Jayadratha, Karna, and other brave warriors have already been slain by Me; do not be distressed with fear; fight and you shall conquer your enemies in battle.",0
24,"What did Duryodhana say to his teacher, Drona?","The Blessed Lord said, ""I taught this imperishable Yoga to Vivasvan; he then told it to Manu; Manu proclaimed it to Ikshvaku.",0
25,"What did Duryodhana say to his teacher, Drona?","The Blessed Lord said, ""I will again declare to thee that supreme knowledge, the best of all knowledge, having known which all the sages have gone to supreme perfection after this life.""",0
26,"What did Duryodhana say to his teacher, Drona?","The unwise, taking pleasure in the eulogizing words of the Vedas, utter flowery speech, saying, ""There is nothing else,"" O Arjuna.",0
27,"What did Duryodhana say to his teacher, Drona?","Dhritarashtra said, ""What did my people and the sons of Pandu do when they had assembled together, eager for battle, on the holy plain of Kurukshetra, O Sanjaya?""",0
28,"What did Duryodhana say to his teacher, Drona?","Sanjaya said: To him, who was thus overcome with pity, despondent, with eyes full of tears and agitated, Madhusudana (the destroyer of Madhu) or Krishna spoke these words.",0
29,"What did Duryodhana say to his teacher, Drona?","Arjuna said, ""O mighty-armed Hrishikesa, I desire to know the essence or truth of renunciation and abandonment severally, O slayer of Kesi.""",0
30,"What did Duryodhana say to his teacher, Drona?","Sanjaya said: Having seen the army of the Pandavas drawn up in battle array, King Duryodhana approached his teacher, Drona, and spoke these words.",0
31,"What did Duryodhana say to his teacher, Drona?","For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.",0
