,Questions,Answers,Labels
0,How does the Gita start?,"Dhritarashtra said, ""What did my people and the sons of Pandu do when they had assembled together, eager for battle, on the holy plain of Kurukshetra, O Sanjaya?""",1
1,"In the Mahabharata war, whom did Duryodhana first talk to?","Sanjaya said: Having seen the army of the Pandavas drawn up in battle array, King Duryodhana approached his teacher, Drona, and spoke these words.",1
2,"What did Duryodhana say to his teacher, Drona?","Behold, O Teacher! This mighty army of the sons of Pandu, arrayed by the son of Drupada, thy wise disciple.",1
3,Which warriors from the Pandava army did Duryodhana first talk about?,"Here are heroes, mighty archers, equal in battle to Bhima and Arjuna, Yuyudhana (Satyaki), Virata, and Drupada—all mighty warriors.",1
4,Who was the king from Kashi who fought in the Mahabharata war?,"Dhrishtaketu, Chekitana, the valiant king of Kasi, Purujit, Kuntibhoja, and Saibya—the best of men.",1
5,Which other warriors from the Pandava army did Duryodhana talk about?,"The strong Yudhamanyu and the brave Uttamaujas, the son of Subhadra (Abhimanyu, the son of Subhadra and Arjuna), and the sons of Draupadi, all of them great charioteers (great heroes).""",1
6,Why was Duryodhana taking names of all the warriors in the Mahabharata war?,"Know also, O best among the twice-born! the names of those who are the most distinguished amongst ourselves, the leaders of my army; these I name to you for your information.",1
7,Who were the warriors on the Kaurava side that Duryodhana mentioned about?,"""Thou thyself, Bhishma, Karna, Kripa, the victorious in war, Asvatthama, Vikarna, and Bhurisrava, the son of Somadatta—all these are ready for battle.""",1
8,What did Duryodhana say about the warriors on his side in the Mahabharata war?,"And also many other heroes, ready to give up their lives for my sake, armed with various weapons and missiles, all well-skilled in battle.",1
9,What did Duryodhana say while comparing his army with the Pandava army?,"Our army, marshalled by Bhishma, is insufficient, whereas theirs, marshalled by Bhima, is sufficient.",1
10,What did Duryodhana ask Drona to primarily do during the war?,"Therefore, do all of you, stationed in your respective positions in the several divisions of the army, protect Bhishma alone.",1
11,What did Bhishma do to cheer up Duryodhana during the Mahabharata war?,"His glorious grandsire, the oldest of the Kauravas, roared like a lion to cheer Duryodhana and blew his conch.",1
12,What happened after Bhishma blew his conch?,"Then, suddenly, conches, kettledrums, tabors, drums, and cow horns blared forth from the Kaurava side, and the sound was tremendous.",1
13,Who was the first person from the Pandava side to blow the conch?,"Then, Madhava (Krishna) and the son of Pandu (Arjuna), seated in the magnificent chariot yoked with white horses, blew divine conches.",1
14,"What were the names of the conches of Krishna, Arjuna and Bhima?","Hrishikesha blew the Panchajanya, Arjuna blew the Devadatta, and Bhima, the wolf-bellied doer of terrible deeds, blew the great conch Paundra.",1
15,"What were the names of the conches of Yudhisthira, Nakula and Sahadeva?","King Yudhishthira, the son of Kunti, blew the Anantavijaya; Nakula and Sahadeva blew the Sughosha and the Manipushpaka.",1
16,Who else fought from the Pandava side?,"The king of Kasi, an excellent archer, Sikhandi, the mighty car-warrior, Dhrishtadyumna, Virata, and Satyaki, the unconquered.",1
17,Who else from the Pandava side blow their conch?,"Drupada and the sons of Draupadi, O Lord of the Earth, and the son of Subhadra, the mighty-armed, blew their conches each separately.",1
18,What was the reaction of Kauravas after the Pandava side blew their conches?,"The tumultuous sound rent the hearts of Dhritarashtra's party, reverberating through both heaven and earth.",1
19,What was depicted on Arjuna's chariot flag?,"Then, seeing the people of Dhritarashtra's party standing arrayed and the discharge of weapons about to begin, Arjuna, the son of Pandu whose ensign was a monkey, took up his bow and said the following to Krishna, O Lord of the Earth.",1
20,What did Arjuna first ask Krishna to do in the Mahabharata war?,"Arjuna said, ""O Krishna, place my chariot in the middle between the two armies, so that I may behold those who stand here, desirous to fight, and know with whom I must fight when the battle is about to commence.""",1
21,Why did Arjuna want Krishna to draw his chariot between the two armies?,"Arjuna said, ""O Krishna, place my chariot in the middle between the two armies, so that I may behold those who stand here, desirous to fight, and know with whom I must fight when the battle is about to commence.""",1
22,What did Arjuna want to observe at the beginning of the war?,"For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.",1
23,Where did Krishna place the chariot?,"Sanjaya said, Thus addressed by Arjuna, Krishna stationed the best of chariots, O Dhritarashtra, in the midst of the two armies.",1
24,In front of whom did Krishna place the chariot?,"In front of Bhishma and Drona, and all the rulers of the earth, he said: ""O Arjuna, son of Pritha, behold these Kurus gathered together.""",1
25,Which relatives did Arjuna see on the other side in the war?,"Then, Arjuna (son of Pritha) saw there (in the armies) stationed fathers, grandfathers, teachers, maternal uncles, brothers, sons, grandsons, and friends.",1
26,Whom did Arjuna see when Krishna placed his chariot in the middle of the two armies?,"He saw fathers-in-law and friends in both the armies. The son of Kunti, Arjuna, seeing all those kinsmen thus standing arrayed, spoke sorrowfully, deeply filled with pity.",1
27,Seeing whom did Arjuna become emotional during the war?,"Arjuna said, ""O Krishna, seeing my kinsmen arrayed here, eager to fight,",1
28,What happened to Arjuna's limbs when he saw so many relatives in the enemy's army?,"My limbs fail, my mouth is parched, my body quivers, and my hair stands on end.",1
29,What happened to Arjuna's bow when he saw so many relatives in the enemy's army?,"The Gandiva slips from my hand, and my skin burns all over; I am unable to stand, and my mind is reeling, as it were.",1
30,What was Arjuna's reaction when he saw so many relatives in the enemy's army?,"And I see ill omens, O Kesava. I do not see any good in slaying my kinsmen in battle.",1
31,Where in the Gita does Arjuna say that he has no desire for empire or victory?,"I desire not victory, O Krishna, nor kingdom, nor pleasures.
What use is dominion to us, O Krishna, or pleasures or even life?",1
32,Why did Arjuna say that he has no desire for victory or the empire?,"Those for whose sake we desire kingdom, enjoyments, and pleasures stand here in battle, having renounced life and wealth.",1
33,What did Arjuna say about the way teachers and relatives are to be treated?,"Teachers, fathers, sons, and grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law, and other relatives—",1
34,Where in the Gita does Arjuna say that he will not kill his relatives even if they kill him?,"These I do not wish to kill, O Krishna, even though they kill me, for the sake of dominion over the three worlds; leave alone killing them for the sake of the earth.""",1
35,What did Arjuna say will happen if he killed his own relatives?,"By killing these sons of Dhritarashtra, what pleasure could be ours, O Janardana? Only sin would accrue to us from killing these felons.",1
36,What according to Arjuna is the effect of killing our own kin?,"Therefore, we should not kill the sons of Dhritarashtra, our relatives; for how can we be happy by killing our own kin, O Madhava (Krishna)?",1
37,What did Arjuna say about the nature of Kauravas?,"Though they, with intelligence overpowered by greed, see no evil in the destruction of families and no sin in hostility to friends,",1
38,Why did Arjuna want to turn away from the battle?,"Why should we not, who clearly see the evil in the destruction of families, learn to turn away from this sin, O Janardana (Krishna)?",1
39,What did Arjuna say would happen to his family if he kills his own clan?,"In the destruction of a family, the immemorial religious rites of that family perish; on the destruction of spirituality, impiety indeed, overwhelms the whole family.",1
40,What did Arjuna say would happen to the women if he kills his own clan?,"O Krishna, by the prevalence of impiety, the women of the family become corrupt; and, when women are corrupted, O Varshenya (descendant of Vrishni), intermingling of castes arises.",1
41,What leads to hell according to Arjuna?,"Confusion of castes leads to hell for the slayers of the family, for their forebears fall, deprived of the offerings of rice-balls and libations of water.",1
42,What did Arjuna say would happen if there is inter mixing in the clans?,"By these evil deeds of the destroyers of the family, which cause confusion of castes, the eternal religious rites of the caste and the family are destroyed.",1
43,What did Arjuna say would happen to those whose clans are destroyed?,"We have heard, O Janardana, that those men in whose families the religious practices have been destroyed are inevitably destined to dwell in hell for an unknown period.",1
44,Why did Arjuna say that he was about to commit a sin?,"Alas! We are involved in a great sin, for we are prepared to kill our kinsmen, out of greed for the pleasures of a kingdom.",1
45,Why did Arjuna want to be killed by the enemy Kauravas?,"If the sons of Dhritarashtra, with weapons in hand, should slay me in battle, unresisting and unarmed, that would be better for me.",1
46,What did Arjuna do after arguing that he will prefer being killed instead of killing his own relatives?,"Sanjaya said, Having thus spoken in the midst of the battlefield, Arjuna cast away his bow and arrow and, his mind overwhelmed with sorrow, sat down on the seat of the chariot.",1
47,What did Sanjaya say about the state of Arjuna?,"Sanjaya said: To him, who was thus overcome with pity, despondent, with eyes full of tears and agitated, Madhusudana (the destroyer of Madhu) or Krishna spoke these words.",1
48,What were Krishna's first words on seeing the weak state of Arjuna after he refused to fight the war?,"The Blessed Lord said, ""From whence has this perilous strait come upon you, this dejection which is unworthy of you, disgraceful, and which will close the gates of heaven upon you, O Arjuna?""",1
49,What did Krishna say to encourage Arjuna to fight the war?,"Do not yield to impotence, O Arjuna, son of Pritha. It does not befit you. Cast off this mean weakness of the heart! Stand up, O conqueror of foes!",1
50,How can I become strong?,"Do not yield to impotence, O Arjuna, son of Pritha. It does not befit you. Cast off this mean weakness of the heart! Stand up, O conqueror of foes!",1
51,Why was Arjuna reluctant to shoot arrows at Bhishma and Drona?,"Arjuna said, ""O Madhusudana, how can I fight in battle with arrows against Bhishma and Drona, who are worthy of being worshipped, O destroyer of enemies?""",1
52,Why was Arjuna reluctant to shoot arrows at his teachers?,"Better it is, indeed, in this world to accept alms than to slay the most noble teachers. But if I were to kill them, even in this world, all my enjoyments of wealth and fulfilled desires would be stained with their blood.",1
53,Why was Arjuna reluctant to shoot arrows at Kauravas (sons of Dhrtarastra)?,"I can hardly tell which would be better, that we should conquer them or that they should conquer us. Even the sons of Dhritarashtra, whom we do not wish to slay, stand facing us.",1
54,When did Arjuna first admis that he is confused?,"My heart is overpowered by the taint of pity; my mind is confused as to my duty. I ask Thee: Tell me decisively what is good for me. I am Thy disciple; instruct me, who has taken refuge in Thee.",1
55,Why was Arjuna so grief stricken?,"I do not see that this sorrow that burns up my senses would be removed, even if I were to attain prosperous and unrivaled dominion on earth or lordship over the gods.",1
56,Where in the Gita did Arjuna say that he will not fight?,"Sanjaya said: Having spoken thus to Hrishikesha, the Lord of the senses, Arjuna, the conqueror of sleep and destroyer of foes, said, ""I will not fight,"" and became silent.",1
57,What was Krishna's first reaction on seeing the grief stricken state of Arjuna?,"To him who was despondent in the midst of the two armies, Krishna, smiling, O Bharata, spoke these words.",1
58,Is it suitable for wise people to grieve?,"The Blessed Lord said, ""You have grieved for those who should not be grieved for; yet, you speak words of wisdom. The wise grieve neither for the living nor for the dead.""",1
59,Do human beings cease to exist when they die?,"Nor, at any time, was I not, nor thou, nor these rulers of men; nor, verily, shall we ever cease to be hereafter.",1
60,What happens to the soul or Atman after death of the body?,"Just as the embodied soul passes through childhood, youth, and old age in this body, so too does it pass into another body; the steadfast one does not grieve over this.",1
61,Does the soul transmigrate after death of the body?,"Just as the embodied soul passes through childhood, youth, and old age in this body, so too does it pass into another body; the steadfast one does not grieve over this.",1
62,What is transmigration of the soul?,"Just as the embodied soul passes through childhood, youth, and old age in this body, so too does it pass into another body; the steadfast one does not grieve over this.",1
63,How do various feelings of pleasure and pain arise?,"The contact of the senses with the objects, O son of Kunti, which causes heat and cold, pleasure and pain, has a beginning and an end; they are impermanent; endure them bravely, O Arjuna.",1
64,What is the sign of a steadfast human?,"That firm man, whom surely these afflictions do not, O chief among men, to whom pleasure and pain are the same, is fit for attaining immortality.",1
65,Where does Krishna talk about impermanence of pleasure and pain?,"That firm man, whom surely these afflictions do not, O chief among men, to whom pleasure and pain are the same, is fit for attaining immortality.",1
66,What is the real and unreal?,The unreal has no being; there is no non-being of the real; the truth about both has been seen by the knowers of the truth (or the seers of the essence).,1
67,Is there anything that immutable and indestructible in this universe?,"Know that to be indestructible, by which all this is pervaded. No one can cause the destruction of that, the Imperishable.",1
68,Does the Jiva also die when the body dies?,"These bodies of the embodied Self, which are eternal, indestructible, and immeasurable, are said to have an end. Therefore, fight, O Arjuna.",1
69,What is the sign of ignorance in a human?,"He who takes the Self to be the slayer and he who thinks it is slain, neither of them knows. It does not slay, nor is it slain.",1
70,What are the properties of the soul or atman?,"It is not born, nor does it ever die; after having been, it again does not cease to be; unborn, eternal, changeless, and ancient, it is not killed when the body is killed.",1
71,Can a Jiva be killed by anyone?,"Whoever knows it to be indestructible, eternal, unborn, and inexhaustible, how can that person slay, O Arjuna, or cause to be slain?",1
72,Can the soul be killed by anyone?,"Whoever knows it to be indestructible, eternal, unborn, and inexhaustible, how can that person slay, O Arjuna, or cause to be slain?",1
73,What happens to the soul after the body dies?,"Just as a man casts off worn-out clothes and puts on new ones, so too the embodied Self casts off worn-out bodies and enters others that are new.",1
74,What happens to the soul after death?,"Just as a man casts off worn-out clothes and puts on new ones, so too the embodied Self casts off worn-out bodies and enters others that are new.",1
75,What happens to the self after the body dies?,"Just as a man casts off worn-out clothes and puts on new ones, so too the embodied Self casts off worn-out bodies and enters others that are new.",1
76,What happens to the self after death?,"Just as a man casts off worn-out clothes and puts on new ones, so too the embodied Self casts off worn-out bodies and enters others that are new.",1
77,Can the soul or self or atman be burnt or destroyed?,"Weapons cannot cut it, fire cannot burn it, water cannot wet it, wind cannot dry it.",1
