,Questions,Answers,Label
0,when does yoga commence?,"now, the teachings of yoga are presented since the student is ready to received these teachings.",1
1,when should i start doing yoga?,"now, the teachings of yoga are presented since the student is ready to received these teachings.",1
2,what is the purpose of yoga?,the purpose of yoga is to quieten the fluctuations of the chitta (mind).,1
3,what is the end result of yoga practice?,"once the state of yoga is achieved, pure consciousness resides in its intrinsic nature.",1
4,what is the usual state of our awareness?,"till the state of yoga is achieved, consciousness identifies itself with the mental patterns.",1
5,how does the mind behave when it is not controlled?,"till the state of yoga is achieved, consciousness identifies itself with the mental patterns.",1
6,what are the different types of thoughts?,"these mental patterns can be classified into five types, which include both harmful and harmless ones.",1
7,how many types of mental modifications are there?,"these mental patterns can be classified into five types, which include both harmful and harmless ones.",1
8,into how many categories can our thoughts be divided?,"these mental patterns can be classified into five types, which include both harmful and harmless ones.",1
9,what are the five types of mental modifications?,"these five types of mental patters are right perception, misperception, conceptualization, deep sleep, and memory.",1
10,what are the five kinds of thoughts in yoga?,"these five types of mental patters are right perception, misperception, conceptualization, deep sleep, and memory.",1
11,what constitutes right perception?,"right perception arises from direct observation, inference, or the words of others.",1
12,what are the methods to acquire right perception?,"right perception arises from direct observation, inference, or the words of others.",1
13,what is right perception?,"right perception arises from direct observation, inference, or the words of others.",1
14,what is wrong knowledge?,"false knowledge arises from misperception, which is not based on reality.",1
15,what is error?,"false knowledge arises from misperception, which is not based on reality.",1
16,define imagination?,"imagination is a product of language-based knowledge, rather than direct experience with the physical world.",1
17,what is imagination?,"imagination is a product of language-based knowledge, rather than direct experience with the physical world.",1
18,what is fantasy?,"imagination is a product of language-based knowledge, rather than direct experience with the physical world.",1
19,define the state of mind in sleep?,the pattern of deep sleep is rooted in the perception that everything ceases to exist.,1
20,what is sleep state?,the pattern of deep sleep is rooted in the perception that everything ceases to exist.,1
21,is sleep a mental modification?,the pattern of deep sleep is rooted in the perception that everything ceases to exist.,1
22,define memory?, 'remembering' refers to the act of retaining past experiences in memory.,1
23,what is memory?, 'remembering' refers to the act of retaining past experiences in memory.,1
24,what are the methods to achieve the goal of yoga?,"in order to quiet the fluctuations of the mind, one needs - practice and dispassion.",1
25,what are the methods to quieten the fluctuations of the mind?,"in order to quiet the fluctuations of the mind, one needs - practice and dispassion.",1
26,what are the means to calm your thoughts?,"in order to quiet the fluctuations of the mind, one needs - practice and dispassion.",1
27,what is the importance of practice and dispassion?,"in order to quiet the fluctuations of the mind, one needs - practice and dispassion.",1
28,define practice?,practice involves the persistent effort to abide in 'elevated' state.,1
29,what is 'practice'?,practice involves the persistent effort to abide in 'elevated' state.,1
30,?,practice involves the persistent effort to abide in 'elevated' state.,1
31,define the characteristics of 'practice'?,skillful and continuous cultivation of this 'practice' with devotion establishes firm roots over time.,1
32,what are the features of 'practice'?,skillful and continuous cultivation of this 'practice' with devotion establishes firm roots over time.,1
33,what kind of practice quietens the fluctuations of the mind?,skillful and continuous cultivation of this 'practice' with devotion establishes firm roots over time.,1
34,what constitutes dispassion or detachment?,"complete dispassion occurs when one no longer becomes attached to anything, whether perceived (seen & heard) directly or learned.",1
35,what are the characteristics of dispassion?,"complete dispassion occurs when one no longer becomes attached to anything, whether perceived (seen & heard) directly or learned.",1
36,what are the signs of successful dispassion?,"complete dispassion occurs when one no longer becomes attached to anything, whether perceived (seen & heard) directly or learned.",1
37,what is the attribute of an elevated level of dispassion?,pure awareness can recognize its independence from the fundamental qualities of nature when ultimate dispassion is achieved.,1
38,what happens when highest level of dispassion is reached?,pure awareness can recognize its independence from the fundamental qualities of nature when ultimate dispassion is achieved.,1
39,what are the levels of meditative absorbtion?,"initially, the process of stilling the mind involves four levels of elevated cognition, including analytical thinking, insight, bliss, and the sense of self.",1
40,what are the stages of meditative absorbtion?,"initially, the process of stilling the mind involves four levels of elevated cognition, including analytical thinking, insight, bliss, and the sense of self.",1
41,what is the last level of meditative absorption?,"as one practices steadily to bring all thoughts to a standstill, these four types of cognition gradually disappear, leaving only latent impressions in the subconscious mind.",1
42,what happens at the highest level of meditative absorption?,"as one practices steadily to bring all thoughts to a standstill, these four types of cognition gradually disappear, leaving only latent impressions in the subconscious mind.",1
43,?,"as one practices steadily to bring all thoughts to a standstill, these four types of cognition gradually disappear, leaving only latent impressions in the subconscious mind.",1
44,what happens if the meditative absorption is incomplete? ,once the body is gone and these latent impressions might give rise to rebirth.,1
45,what are the various paths to realisation?,"for others, the path to realization involves faith, energy, right cognition in form of memory and to understand the various elevated levels of wisdom.",1
46,does intense practice help in achieving realisation?,"those who earnestly seek liberation will find that realization is within reach, depending on the intensity of their practice.",1
47,what are the various levels of yoga practice?,"the proximity to realization varies according to whether the practice is mild, moderate, or intense.",1
48,what is the other singular path to achieve the (highest level of) meditative absorption?,another pathway to realization involves being directed toward the ideal of pure awareness i.e. ishvara or god.,1
49,do yogis believe in god?,another pathway to realization involves being directed toward the ideal of pure awareness i.e. ishvara or god.,1
50,does praying to god help in yoga?,another pathway to realization involves being directed toward the ideal of pure awareness i.e. ishvara or god.,1
51,how does praying to god help?,another pathway to realization involves being directed toward the ideal of pure awareness i.e. ishvara or god.,1
52,what is the nature of god? ,"ishvara or god is a unique and incorruptible manifestation of pure awareness that is completely independent of cause and effect, and devoid of any latent impressions.",1
53,describe the characteristics of god?,isvara or god is limitless and with unparalleled omniscience.,1
54,who is considered as the primordial teacher?,"being beyond time, isvara or god is revered as the primoridial master by the ancients.",1
55,who is considered as the original teacher?,"being beyond time, isvara or god is revered as the primoridial master by the ancients.",1
56,who is considered as the primordial master?,"being beyond time, isvara or god is revered as the primoridial master by the ancients.",1
